No of Trainings | Percentage0th training :=  Win Percent :21.9 | Draw Percent :13.3 | Lost Percent :64.8
254th training :=  Win Percent :20.8 | Draw Percent :15.8 | Lost Percent :63.4
255th training :=  Win Percent :22.2 | Draw Percent :15.8 | Lost Percent :62
256th training :=  Win Percent :23.3 | Draw Percent :13.2 | Lost Percent :63.5
257th training :=  Win Percent :22.7 | Draw Percent :15 | Lost Percent :62.3
258th training :=  Win Percent :24.7 | Draw Percent :14.7 | Lost Percent :60.6
259th training :=  Win Percent :23.7 | Draw Percent :14.2 | Lost Percent :62.1
260th training :=  Win Percent :22.9 | Draw Percent :13.6 | Lost Percent :63.5
261th training :=  Win Percent :20.1 | Draw Percent :12.8 | Lost Percent :67.1
262th training :=  Win Percent :22.8 | Draw Percent :16.8 | Lost Percent :60.4
263th training :=  Win Percent :22.8 | Draw Percent :15.1 | Lost Percent :62.1
264th training :=  Win Percent :24.8 | Draw Percent :14 | Lost Percent :61.2
265th training :=  Win Percent :22.2 | Draw Percent :15.1 | Lost Percent :62.7
266th training :=  Win Percent :21.7 | Draw Percent :15.5 | Lost Percent :62.8
267th training :=  Win Percent :22 | Draw Percent :14.4 | Lost Percent :63.6
268th training :=  Win Percent :24.3 | Draw Percent :13.3 | Lost Percent :62.4
269th training :=  Win Percent :23 | Draw Percent :14.9 | Lost Percent :62.1
270th training :=  Win Percent :22.2 | Draw Percent :14.7 | Lost Percent :63.1
271th training :=  Win Percent :22.9 | Draw Percent :15.2 | Lost Percent :61.9
272th training :=  Win Percent :22.3 | Draw Percent :14.7 | Lost Percent :63
273th training :=  Win Percent :23.1 | Draw Percent :14.5 | Lost Percent :62.4
274th training :=  Win Percent :21.1 | Draw Percent :15.1 | Lost Percent :63.8
275th training :=  Win Percent :22.7 | Draw Percent :14.2 | Lost Percent :63.1
276th training :=  Win Percent :23.2 | Draw Percent :15.7 | Lost Percent :61.1
277th training :=  Win Percent :25.2 | Draw Percent :13.3 | Lost Percent :61.5
278th training :=  Win Percent :23.6 | Draw Percent :12.5 | Lost Percent :63.9
279th training :=  Win Percent :19.8 | Draw Percent :15.5 | Lost Percent :64.7
