No of Trainings | Percentage0th training :=  Win Percent :70 | Draw Percent :30
409th training :=  Win Percent :70 | Draw Percent :30
410th training :=  Win Percent :90 | Draw Percent :10
411th training :=  Win Percent :90 | Draw Percent :10
412th training :=  Win Percent :90 | Draw Percent :10
413th training :=  Win Percent :80 | Draw Percent :10
414th training :=  Win Percent :90 | Draw Percent :0
415th training :=  Win Percent :100 | Draw Percent :0
416th training :=  Win Percent :90 | Draw Percent :10
417th training :=  Win Percent :90 | Draw Percent :10
418th training :=  Win Percent :90 | Draw Percent :10
419th training :=  Win Percent :90 | Draw Percent :10
420th training :=  Win Percent :100 | Draw Percent :0
421th training :=  Win Percent :100 | Draw Percent :0
422th training :=  Win Percent :90 | Draw Percent :10
423th training :=  Win Percent :90 | Draw Percent :10
424th training :=  Win Percent :100 | Draw Percent :0
425th training :=  Win Percent :100 | Draw Percent :0
426th training :=  Win Percent :100 | Draw Percent :0
427th training :=  Win Percent :100 | Draw Percent :0
428th training :=  Win Percent :100 | Draw Percent :0
429th training :=  Win Percent :100 | Draw Percent :0
430th training :=  Win Percent :80 | Draw Percent :20
431th training :=  Win Percent :80 | Draw Percent :20
432th training :=  Win Percent :100 | Draw Percent :0
433th training :=  Win Percent :80 | Draw Percent :20
434th training :=  Win Percent :80 | Draw Percent :10
435th training :=  Win Percent :90 | Draw Percent :10
436th training :=  Win Percent :100 | Draw Percent :0
437th training :=  Win Percent :70 | Draw Percent :20
438th training :=  Win Percent :90 | Draw Percent :10
439th training :=  Win Percent :70 | Draw Percent :20
440th training :=  Win Percent :90 | Draw Percent :10
441th training :=  Win Percent :100 | Draw Percent :0
442th training :=  Win Percent :90 | Draw Percent :0
443th training :=  Win Percent :90 | Draw Percent :10
444th training :=  Win Percent :90 | Draw Percent :0
445th training :=  Win Percent :90 | Draw Percent :10
446th training :=  Win Percent :90 | Draw Percent :10
447th training :=  Win Percent :90 | Draw Percent :0
448th training :=  Win Percent :100 | Draw Percent :0
449th training :=  Win Percent :80 | Draw Percent :10
450th training :=  Win Percent :100 | Draw Percent :0
451th training :=  Win Percent :100 | Draw Percent :0
452th training :=  Win Percent :100 | Draw Percent :0
453th training :=  Win Percent :90 | Draw Percent :0
454th training :=  Win Percent :90 | Draw Percent :10
455th training :=  Win Percent :100 | Draw Percent :0
456th training :=  Win Percent :90 | Draw Percent :10
457th training :=  Win Percent :80 | Draw Percent :20
458th training :=  Win Percent :100 | Draw Percent :0
459th training :=  Win Percent :100 | Draw Percent :0
460th training :=  Win Percent :90 | Draw Percent :10
461th training :=  Win Percent :100 | Draw Percent :0
462th training :=  Win Percent :100 | Draw Percent :0
