No of Trainings | Percentage0th training :=  Win Percent :81.4 | Draw Percent :12.2 | Lost Percent :6.4
200th training :=  Win Percent :92.2 | Draw Percent :4.5 | Lost Percent :3.3
201th training :=  Win Percent :93 | Draw Percent :4.5 | Lost Percent :2.5
202th training :=  Win Percent :91.8 | Draw Percent :5.5 | Lost Percent :2.7
203th training :=  Win Percent :92.6 | Draw Percent :4.4 | Lost Percent :3
204th training :=  Win Percent :92.3 | Draw Percent :4.2 | Lost Percent :3.5
205th training :=  Win Percent :92.5 | Draw Percent :4.9 | Lost Percent :2.6
206th training :=  Win Percent :91.2 | Draw Percent :5.1 | Lost Percent :3.7
207th training :=  Win Percent :91.2 | Draw Percent :4.8 | Lost Percent :4
208th training :=  Win Percent :91.6 | Draw Percent :4.4 | Lost Percent :4
209th training :=  Win Percent :91.6 | Draw Percent :4.1 | Lost Percent :4.3
210th training :=  Win Percent :90.7 | Draw Percent :5.5 | Lost Percent :3.8
211th training :=  Win Percent :92.2 | Draw Percent :4.2 | Lost Percent :3.6
212th training :=  Win Percent :92.3 | Draw Percent :3.9 | Lost Percent :3.8
213th training :=  Win Percent :92 | Draw Percent :4.9 | Lost Percent :3.1
214th training :=  Win Percent :91.6 | Draw Percent :5.5 | Lost Percent :2.9
215th training :=  Win Percent :93.1 | Draw Percent :4.1 | Lost Percent :2.8
216th training :=  Win Percent :93.9 | Draw Percent :3.9 | Lost Percent :2.2
217th training :=  Win Percent :90.5 | Draw Percent :6.1 | Lost Percent :3.4
218th training :=  Win Percent :93.4 | Draw Percent :4.3 | Lost Percent :2.3
219th training :=  Win Percent :92.7 | Draw Percent :4.9 | Lost Percent :2.4
220th training :=  Win Percent :93.7 | Draw Percent :3.5 | Lost Percent :2.8
221th training :=  Win Percent :93 | Draw Percent :4.2 | Lost Percent :2.8
222th training :=  Win Percent :93.8 | Draw Percent :2.8 | Lost Percent :3.4
223th training :=  Win Percent :92.3 | Draw Percent :4.5 | Lost Percent :3.2
224th training :=  Win Percent :92.6 | Draw Percent :3.5 | Lost Percent :3.9
225th training :=  Win Percent :92.4 | Draw Percent :3.5 | Lost Percent :4.1
226th training :=  Win Percent :90.5 | Draw Percent :6 | Lost Percent :3.5
227th training :=  Win Percent :90.3 | Draw Percent :5.9 | Lost Percent :3.8
228th training :=  Win Percent :91.2 | Draw Percent :4.8 | Lost Percent :4
229th training :=  Win Percent :93.5 | Draw Percent :3.3 | Lost Percent :3.2
230th training :=  Win Percent :92.7 | Draw Percent :3.4 | Lost Percent :3.9
231th training :=  Win Percent :92.4 | Draw Percent :3.9 | Lost Percent :3.7
232th training :=  Win Percent :91.2 | Draw Percent :5.1 | Lost Percent :3.7
233th training :=  Win Percent :91.7 | Draw Percent :5.8 | Lost Percent :2.5
234th training :=  Win Percent :92.2 | Draw Percent :4.6 | Lost Percent :3.2
235th training :=  Win Percent :92.4 | Draw Percent :4.1 | Lost Percent :3.5
236th training :=  Win Percent :92.2 | Draw Percent :5.4 | Lost Percent :2.4
237th training :=  Win Percent :92.6 | Draw Percent :4.4 | Lost Percent :3
238th training :=  Win Percent :92 | Draw Percent :4.5 | Lost Percent :3.5
239th training :=  Win Percent :91.7 | Draw Percent :4.3 | Lost Percent :4
240th training :=  Win Percent :92 | Draw Percent :4.6 | Lost Percent :3.4
241th training :=  Win Percent :90.4 | Draw Percent :5.2 | Lost Percent :4.4
242th training :=  Win Percent :90.5 | Draw Percent :5.7 | Lost Percent :3.8
